id,name,none,fb,fa,qd,qd_fb
1,c01,0.0278023,0.0278023,0.0278023,0.0278023,0.0278023
2,c02,3.4406073,3.4406073,3.4406073,3.4406073,3.4406073
3,c03,0.0556976,0.0556976,0.0556976,0.0556976,0.0556976
4,c04,1.3871659,1.3871659,1.3871659,1.3871659,1.3871659
5,c05,10.5167009,10.5167009,10.5167009,10.5167009,10.5167009
6,c06,0.1082885,0.1082885,0.1082885,0.1082885,0.1082885
7,c07,0.6159996,0.6159996,0.6159996,0.6159996,0.6159996
8,c08,0.6754177,0.6754177,0.6754177,0.6754177,0.6754177
9,c09,0.1052684,0.1052684,0.1052684,0.1052684,0.1052684
10,c10,0.2526945,0.2526945,0.2526945,0.2526945,0.2526945
11,c11,3.5821114,3.5821114,3.5821114,3.5821114,3.5821114
12,c12,0.3395238,0.3395238,0.3395238,0.3395238,0.3395238
13,c13,4.5572350,4.557235,4.557235,4.557235,4.557235
14,c14,0.0902477,0.0902477,0.0902477,0.0902477,0.0902477
15,c15,4.9884198,4.9884198,4.9884198,4.9884198,4.9884198
16,c16,1.4614279,1.4614279,1.4614279,1.4614279,1.4614279
17,c17,0.0663809,0.0663809,0.0663809,0.0663809,0.0663809
18,c18,0.0037916,0.0037916,0.0037916,0.0037916,0.0037916
19,c19,-0.0353472,0.0257,0.0345,0.0257,0.0257
20,c20,0.9924201,0.9924201,0.5261855,0.9924201,0.9924201
21,c21,-0.0089923,-0.0089923,-0.0089923,-0.0089923,-0.0089923
22,c22,-0.1207719,-0.1207719,-0.1207719,-0.1207719,-0.1207719
23,c23,-0.0030183,-0.0030183,-0.0030183,-0.0030183,-0.0030183
24,c24,0.0051420,0.005142,0.005142,0.005142,0.005142
25,c25,1.1576993,1.1576993,1.1576993,1.1576993,1.1576993
26,c26,199.8510858,199.8510858,199.8510858,211.8807459,211.8807459
27,c27,-0.7098732,-0.7098732,-0.7098732,-0.6956713,-0.6956713
28,c28,98.7171046,98.7171046,98.7171046,80.5378829,80.5378829
29,c29,1.3585339,1.3585339,1.3585339,1.4326459,1.4326459
30,c30,0.0858733,0.0858733,0.0858733,0.0962765,0.0962765
31,c31,0.0000000,0,7.050747,0,0
32,c32,2.5633049,2.5633049,8.840802,2.5633049,2.5633049
33,c33,0.2663350,0.266335,0.266335,0.266335,0.266335
34,c34,0.0138791,0.0138791,0.0138791,0.0138791,0.0138791
35,c35,0.4464128,0.4464128,0.4464128,0.4464128,0.4464128
36,c36,0.9885108,0.9885108,0.9746439,0.9885108,0.9885108
37,c37,1.9005300,1.90053,1.9005,1.90053,1.90053
38,c38,0.8072600,0.80726,0.8073,0.80726,0.80726
39,c39,-2.4324028,-2.4324028,-2.4324028,-2.4324028,-2.4324028
40,c40,0.6642600,0.66426,0.66426,0.66426,0.66426
41,c41,0.0020333,0.0020333,0.0020333,0.0020333,0.0020333
42,c42,0.2304051,0.2304051,0.2304051,0.2304051,0.2304051
43,c43,-0.0075720,-0.007572,-0.007572,-0.007572,-0.007572
44,c44,0.0561981,0.0561981,0.0561981,0.0561981,0.0561981
45,c45,5000.00000,5000,10000,3000,3000
46,c46,2644.20143,2644.201428,2644.201428,2644.201428,2644.201428
47,c47,-0.6853324,-0.6853324,-0.6853324,-0.6853324,-0.6853324
48,c48,-0.1119094,-0.1119094,-0.1119094,-0.1119094,-0.1119094
49,c49,0.7500000,0.8,0.75,0.8,0.8
50,c50,7.0000000,7,7,7,7
51,c51,0.8972909,0.8972909,0.8972909,0.8972909,0.8972909
52,c52,1.1883000,1.1883,1.1883,1.1883,1.1883
53,c53,10.2070199,10.2070199,10.2070199,10.2070199,10.2070199
54,c54,2.2541377,2.2541377,2.2541377,2.2541377,2.2541377
55,c55,0.0000000,0,0,0,0
56,c56,0.0000000,0.55,0.55,0.55,0.55
57,c57,0.0000000,0.0801,0.0801,0.0801,0.0801
58,c58,,,,1.7240524,1.7240524
59,c59,,,,1.270255,1.270255
60,c60,,,,5.6358506,5.6358506
